NAF rev. 2,BE,CZ,(C1),(C2),(C3),[CI],[CJ],[CK],(C4),[CL1],[CL2],(C5),[CB],[CC],[CE],[CF],[CG],[CH],[CM],DE,[BZ],[DZ],[EZ],FZ,RM040,RM050,RM060,RM070,RM090
_199001,93.39,96.44,86.88,232.95,95.48,75.13,129.32,110.29,93.43,112.92,78.48,99.63,772.38,140.35,67.73,27.77,96.93,136.11,76.36,76.37,140.26,72.14,83.74,120.53,103.21,90.73,113.47,84.62,78.54
_199002,94.92,98.99,92.01,209.73,103.52,88.12,128.41,112.42,92.73,112.95,76.51,100.56,775.46,141.68,67.45,25.11,97.25,136.63,81.67,72.46,138.8,67.73,84.59,120.26,102.91,96.29,116.93,86.43,74.02
_199003,94.45,97.88,91.52,213.41,96.55,76.14,128.47,112.42,92.73,113.82,75.09,100.95,766.36,142.98,67.38,30.39,99.03,136.56,77.39,75.35,137.56,71.07,84.78,122.57,103.49,91.3,116.57,88.82,77.23
_199004,94.92,97.29,92.53,211.24,96.56,76.36,130.18,111.07,90.62,108.46,77.83,100.09,767.78,140.2,65.83,29.09,97.58,135.72,78.58,81.5,133.89,78.22,85.29,121.11,102.27,90.76,118.59,88.49,83.86
_199005,95.21,98.25,95.13,224.64,98.2,79.81,136.14,106.52,88.65,105.94,76.41,100.96,775.81,141.11,65.91,30.05,98.47,136.27,79.38,78.18,137.9,74.17,85.99,122.67,103.46,90.56,119.75,90.52,80.36
_199006,93.8,96.23,91.26,235.84,91.6,67.94,134.29,108.67,89.63,106.59,78.09,100.19,771.42,139.23,64.86,29.59,97.69,137.17,78.22,80.1,136.28,76.4,86.47,121.96,102.75,87.63,119.55,88.02,82.65
_199007,93.84,96.39,91.46,233.56,94.6,74.87,133.92,105.23,88.59,104.76,78.12,99.68,750.72,139.27,65.6,28.12,98.32,135.85,78.69,79.49,127.13,76.22,87.04,118.16,102.32,89.21,117.24,87.3,82.07
_199008,93.35,95.72,93.19,229.34,93.72,74.33,130.98,104.83,85.02,98.69,77.96,99.09,739.2,136.15,65.35,30.03,96.67,133.92,78.77,80.02,133.52,76.41,87.49,121.17,100.81,87.69,116.59,89.04,82.52
_199009,94.07,96.34,89.6,227.45,96.81,76.94,137.12,107,85.26,98.67,78.66,100.11,752.43,137.74,66.42,29.29,98.54,135.02,79.41,81.24,137.66,77.5,88.2,121.56,102.84,88.99,115.93,86.63,83.7
_199010,93.71,96.44,90.64,218.71,94.92,74.3,135.27,106.76,86.69,100.84,79.14,100.39,750.09,139.47,67.18,30.04,98.25,135.72,78.65,78.42,139,74.16,88.95,122.05,102.87,88.83,116.56,87.6,80.47
_199011,92.65,94.5,89.77,222.79,90.98,69.49,132.57,104.27,84.81,98.63,77.46,98.76,735.03,139.03,67,29.83,96.57,132.94,76.57,82.05,139.34,78.2,89.73,122.55,101.93,85.53,115.31,86.46,84.35
_199012,93.78,95.07,90.07,224.25,91.97,67.92,138.34,107.77,85.9,98.61,80.52,99.15,750.88,140.72,63.65,29.64,97.08,133.78,78.52,86.2,137.13,83.02,90.06,119.46,102.1,86.54,115.8,86.71,88.87
_199101,95.06,97.13,95.61,241.37,94.91,78.71,126.36,102.39,86.68,101.43,77.95,100.19,742.14,142.37,67.53,30.17,96.51,131,81.51,83.24,141.12,79.36,90.88,123.82,101.43,90.07,115.78,90.18,85.91
_199102,94.69,95.49,94.26,242.79,94.86,77.12,132.11,102.39,84.23,98.4,75.98,98.07,738.53,141.2,66.5,30.85,91.87,128.34,78.8,89.71,117.68,88.01,92.03,108.85,99.25,87.64,113.6,89.6,93.91
_199103,93.51,95.92,92.75,229.16,94.71,75.84,131.94,104.38,85.04,97.67,79.24,99.23,736.09,140.51,67.38,30.18,96.38,128.89,80.17,79.91,141.83,75.47,91.76,122.11,101.5,88.1,117.41,88.27,82.13
_199104,93.46,95.17,94.2,239.14,92.61,75.15,131.58,98.94,83.82,99.87,72.69,98.38,721.5,142.68,63.87,31,96.41,130.71,77.73,83.58,144.18,79.47,92.28,122.89,101,86.12,115.15,89.28,86.06
_199105,93.58,94.03,91.58,217.04,90.74,72.92,128.63,98.44,84.12,100.37,72.73,97.72,704.15,141.96,64.62,30.41,95.1,128.76,78.59,90.46,142.8,87.35,92.62,123.24,100.02,86.08,112.67,87.05,92.78
_199106,93.95,95.54,90.9,242.79,91.84,72.96,134.05,99.3,85.95,101.69,75.63,99.69,715.22,142.27,67.64,30.63,97.47,130.86,80.13,84.72,145.6,80.63,92.8,119.69,102.28,87.38,114.05,87.21,87.42
_199107,92.37,93.75,91.52,234.16,89.5,72.98,131.65,92.75,84.27,101.45,71.52,97.48,719.89,142.32,66.7,30.44,96.92,126.3,75.36,84.24,139.23,80.44,93.09,122.2,100.71,83.93,112.76,87.54,86.89
_199108,93.38,95.13,91.74,236.13,91.44,73.86,136.05,95.32,87.98,107.74,71.94,98.44,734.59,139.36,66.68,31.21,95.61,129.91,76.88,83.28,140.39,79.35,92.28,121.19,101.48,86.49,112.96,88.15,85.87
_199109,93.69,95.58,93,233.43,90.21,73.99,129.43,94.28,88.38,106.63,74.65,99.31,717.77,142.5,70.37,31.29,96.52,129.87,77.12,82.85,137.24,78.95,93.38,122.16,101.83,87.14,110.82,88.88,85.42
_199110,93.28,94.57,91.19,200.27,91.34,75.31,132.78,93.85,85.96,105.4,70.08,98.32,710.27,141.11,68.45,32,96.11,128.21,76.22,85.68,138.79,82.05,93.83,123.89,101.03,86.04,110.41,88.16,87.57
_199111,94.77,95.94,92.54,244.05,92.55,75.65,132.96,97.12,87.2,104.62,74.55,99.47,717.14,149.28,68.76,31.78,96.76,129.31,76.94,87.8,139.6,84.4,94,124.38,101.62,87.52,110.64,89.81,90.8
_199112,93.92,94.86,91.61,243.61,85.65,64.62,131.18,95.98,87.45,106.5,72.4,100.02,707.64,143.95,70.16,33.14,98.82,128.46,78.01,88.18,137.89,84.9,94.42,124.86,102.15,84.79,109.56,89.12,91.3
_199201,94.16,95.28,92.09,226.12,91.03,75.17,131.63,93.71,87.45,107.48,70.92,98.96,687.92,141.73,69.55,32.57,96.79,127.68,78.4,87.43,132.41,84.33,94.91,124.23,101.6,87.15,111.17,88.12,90.37
_199202,93.4,94.66,92.16,235.28,87.93,68.19,134.53,94.95,86.96,105.93,71.94,98.89,686.1,144.05,69.84,32.94,97.85,129.91,74.83,85.98,132.78,82.77,93.48,125.78,102.68,84.25,111.14,88.65,89.06
_199203,94.32,95.6,92.84,237.48,90.65,73.7,133.1,94.41,86.57,106.03,70.74,99.6,690.4,142.52,69.46,32.1,97.11,128.99,79.92,86.75,136.04,83.3,95.36,125.77,101.94,87.24,110.81,88.71,89.74
_199204,93.67,94.7,92.95,239.39,89.54,73.24,131.38,92.51,84.48,103.56,68.9,98.74,684.52,142.27,68.8,33.87,96.43,127.94,77.09,87.45,134.72,84.18,95.48,126.96,101.3,84.91,110.34,89.49,90.58
_199205,93.68,94.96,94.23,226.63,90.99,74.63,133.07,93.85,83.88,101.64,70.2,98.63,694.26,141.08,68.38,34.06,96.29,126.95,77.21,86.18,132.27,82.87,95.27,124.9,101.03,85.1,111.65,90.36,89.08
_199206,92.57,93.82,93.25,218.07,89.54,74.45,128.34,91.78,83.56,101.97,68.85,97.43,677.41,142.27,71.56,33.8,94.63,122.3,75.58,85.17,129.15,81.88,95.35,125.79,99.8,84.05,110.29,89.66,87.95
_199207,92.22,93.31,92.21,228.08,88.79,72.48,132.1,91.16,82.61,100.04,69.24,97.15,649.69,144.95,70.54,34.49,93.22,123.73,75.72,85.67,128.08,82.53,95.23,125.92,99.34,83.47,108.76,89.28,88.76
_199208,92.51,93.62,89.39,227.24,89.98,73.22,135.09,92.21,83.88,101.88,69.85,97.76,669.96,139.45,69.92,35.92,93.64,124.39,76.78,85.89,127.92,82.97,93.24,116.22,99.52,84.76,107.34,88.21,88.96
_199209,91.2,92.12,90.97,216.55,85.42,67.2,130.82,90.45,83.18,102.86,66.52,96.39,654.87,140.02,70.59,31.94,93.73,123.66,75.54,85.56,126.34,82.51,95.14,124.97,99.37,82.11,108.82,86.9,88.44
_199210,92.12,92.47,90.52,224.36,86.73,69.77,130.56,90.17,83.78,102.25,69.03,96.5,656.58,139.25,70,33.84,94.05,123.06,75,89.54,125.9,87.11,95.1,123.58,99,82.81,108.48,87.51,92.83
_199211,90.93,91.97,90.88,211.53,87.17,71.13,130.75,89.03,81.99,97.73,71.06,95.84,658.56,136.94,69.47,34.36,93.27,121.17,74.63,84.72,127.27,81.48,95.33,121.3,98.15,82.16,107.61,87.98,87.41
_199212,89.75,90.44,91.46,211.66,88.23,72.98,134.2,87.45,76.8,90.83,67.62,93.69,641.86,135.26,68.1,33.53,90.49,117.06,74.08,85.4,120.59,82.63,95.43,120.01,96.36,80.11,105.31,87.4,88.49
_199301,89.63,90.64,89.5,225.29,86.3,70.96,130.15,86.81,78.07,94.15,66.05,94.85,655.12,136.02,68.08,35.42,92.14,118.82,73.55,83.44,130.49,79.75,96.64,120.51,96.91,79.79,107.49,87.65,86.28
_199302,89.78,89.84,90.94,223.71,84.02,68.77,128.55,84.2,77.24,93.49,64.84,93.93,646.38,134.91,70.43,35.58,91.19,117.19,70.77,88.77,129.51,85.83,97.35,119.1,96.52,77.76,104.66,88.64,91.81
_199303,89.39,89.41,90.69,229.98,83.05,68.39,127.11,82.46,75.72,91.62,63.59,93.87,637.44,134.01,68.43,36.12,89.01,114.36,75.88,88.6,116.77,86.34,97.43,116.92,94.45,78.52,103,88.16,92.42
_199304,88.75,89.41,90.41,224.88,85.14,70.63,129.34,84.06,75.85,91.23,64.51,93.23,629.01,133.12,70.22,34.25,89.64,113.75,74.43,84.52,121.37,81.42,97.49,116.48,95.24,78.98,101.8,86.91,87.86
_199305,88.64,89.06,88.11,246.28,84.46,69.52,127.02,85.02,78.1,93.4,67.23,92.71,626.62,132.25,68.87,34.52,89.97,114.15,72.91,85.65,120.79,82.78,97.06,115.73,95.05,79.2,102.24,85.24,89.56
_199306,87.94,88.13,89.61,240.05,83.39,68.62,127.08,83.15,73.74,89.21,61.96,92.04,619.87,132.97,69.57,35.53,86.64,111.66,73.29,86.24,119.09,83.57,96.67,115.13,93.32,77.32,101.3,86.78,90.07
_199307,89.14,89.61,89.87,245,85.85,72.52,124.25,85.45,74.15,87.86,65.04,93.79,648.38,138.57,70.08,35.2,88.67,113.71,73.91,85.91,123.81,82.98,96.19,114.5,94.9,78.61,104.54,87.78,89.63
_199308,88.55,88.85,90.72,239.27,84.69,71.42,123.18,84.23,75.78,86.43,71.46,92.13,628.9,133.35,67.56,34.27,88.09,113.27,73.26,86.24,120.03,83.82,93.24,110.86,93.96,78.31,103.84,86.96,90.04
_199309,89.12,89.17,93.68,246.93,85.96,72.89,126.64,83.98,71.47,83.34,64.67,92.52,630.95,134.27,68.86,36.15,87.53,112.53,72.81,88.15,118.7,85.82,96.22,112.94,94.1,77.34,101.19,89.56,92.13
_199310,89.54,89.68,91.03,250.27,89.89,80.28,123.51,84.88,70.99,83.32,63.45,92.96,620.32,133.47,70.52,35.35,89.15,111.96,74.28,88.08,120.39,85.6,96.75,112.17,94.99,79.46,99.37,87.15,92.18
_199311,88.91,87.89,90.14,249.72,79.84,62.25,127.88,82.77,71.62,84.44,63.46,93.12,609.21,138.21,72.66,36.15,88.46,110.21,73.87,93.83,119.63,92.11,97.88,110.92,95.24,75,96.87,87.21,98.22
_199312,88.09,88.2,89.14,251.33,81.8,67.38,123.69,81.93,71.6,86.42,60.47,93.3,604.28,136.4,71.27,37.86,90.7,111.57,72.27,86.85,123.08,83.96,97.78,108.87,95.46,75.71,94.09,87.36,90.88
_199401,89.7,90.08,90.28,231.05,83.93,67.79,126.59,86.43,73.76,88.89,62.67,95.44,634.04,140.41,72.02,34.48,96.02,114.02,74.72,86.96,126.65,83.59,101.05,112.28,98.74,76.9,105.5,87.52,90.22
_199402,89.43,89.64,87.97,234.33,86.15,71.67,127.65,86.04,74.96,89.06,65.66,94.16,631.83,138.33,72.9,34.27,92.81,112.91,72.95,87.57,120.52,84.72,99.76,110.78,97.92,77.81,103.34,85.56,91.27
_199403,89.43,90.21,90.03,257.31,84.25,70.74,124.53,83.11,74.65,91.03,61.78,95.24,632.34,139.33,73.79,34.44,93.18,114.11,75.18,84.5,125.14,80.88,100.76,112.14,98.42,77.78,103.78,86.91,88.35
_199404,91.87,91.56,88.74,245.05,84.9,65.9,127.61,92.66,82.19,101.09,66.71,96.06,641.45,136.31,75.47,35.13,94.85,115.52,74.69,92.88,125.21,90.47,100.44,112.13,99.9,80.33,107.8,86.44,96.8
_199405,91.78,92.37,89.11,232.97,85.92,70.24,123.26,90.29,80.54,101.34,61.88,97.63,648.26,141.88,75.83,35.16,96.45,117.27,76.42,87.92,125.81,84.85,99.68,110.46,100.71,81.07,107.55,87.3,91.32
_199406,92.25,92.7,89.87,208.07,89,75.54,125.44,89.53,80.41,101.55,61.19,97.21,641.27,139.62,70.59,35.92,96.2,117.36,78.84,89.13,130.2,86.13,98.18,111.79,99.58,82.96,108.08,87.61,91.89
_199407,93.14,93.71,93.16,208.3,88.29,70.2,127.11,96.23,83.09,106.64,60.59,97.78,632.95,142.69,73.64,36.94,97.51,118.46,76.08,89.31,131.02,86.37,97.31,111.85,101.54,82.78,107.84,89.91,92.01
_199408,93.66,94.24,97.52,234.07,86.31,68.88,124.7,93.36,80.54,100.95,62.47,98.73,619.31,145.3,76.8,37.35,97.62,119.02,77.15,89.77,134.82,87.1,92.83,112.94,102.19,81.46,107.6,92.99,92.9
_199409,93.34,93.85,91.09,239.84,88.25,69.56,133.08,94.11,82.55,104.27,62.81,98.53,621.35,142.33,75.15,36.84,98.87,121.12,76.13,89.82,126.06,87.31,96.31,111.65,103.28,82.24,107.16,88.43,93.37
_199410,94.23,95.08,90.96,238.78,90.45,72.37,127.51,99.19,84.22,108.39,60.96,99.69,623.42,143.01,76.86,37.53,100.41,122.34,76.72,88.9,129.54,85.94,97.79,111.37,104.17,83.98,112.24,88.86,92.26
_199411,95.01,96.56,93.06,239.89,91.5,73.68,131.5,98.13,85.23,111.12,59.5,101.29,630.85,145.76,78.45,37.63,102.34,125.89,76.83,85.81,137.11,81.84,99.77,115.76,107.13,84.37,112.58,90.26,88.72
_199412,94.92,96.13,92.4,229,91.05,73.22,131.72,97.37,82.36,106.44,58.95,101.62,627.44,145.24,77.32,38.1,101.51,126.38,79.18,87.62,133.77,84.14,99.16,115.2,106.6,83.91,112.05,89.97,90.51
_199501,95.68,96.35,92.16,228.04,91.64,71.84,131.63,101.79,86.2,111.51,61.6,100.88,630.47,141.51,76.62,37.18,101.8,127.47,77.1,91.32,122.17,89.19,95.85,112.15,106.35,85.36,109.47,89.06,94.86
_199502,95.03,96.74,92.54,230.13,93.35,74.72,130.05,103.1,89.59,112.92,68.51,100.15,633.45,143.67,74.1,37.43,100.54,126.26,76.73,84.85,129.6,81.36,98.07,114.7,105.18,87.27,109.58,89.78,87.87
_199503,95.81,96.1,91.13,228.97,92.48,73.76,130.43,101.75,86.29,108.36,66.58,100.39,622.84,143.38,76.99,38.52,99.95,126.25,75.98,93.59,126.15,91.33,98.65,112.78,105.56,85.53,109.92,89.13,97.02
_199504,95.79,96.38,92.66,225.09,94.07,75.5,130.63,103.77,85.03,105.97,66.85,100.31,621.59,142.44,75.72,38.62,99.62,125.43,77.66,91.88,130.25,89.19,98.72,112.88,104.73,86.52,108,90.28,94.96
_199505,95.38,95.73,93.51,229.76,92.22,73.39,131.9,100.73,84.51,106.54,64.6,99.58,611.12,141.96,75.18,39.27,98.93,125.46,75.85,92.74,130.13,90.03,100.45,114.45,104.63,84.77,106.06,90.79,95.98
_199506,96.02,96.51,94.35,250.11,92.99,73.59,133.58,102,84.25,107.32,62.71,100.45,617.04,143.54,75.94,39.4,99.79,125.42,77.29,92.61,128.02,89.88,101.86,113.9,105.58,85.27,106.52,91.36,96.31
_199507,96.46,96.96,92.93,241.53,96.15,78.59,131.2,104.73,84.26,104.86,66.45,100.68,634.35,141.3,75.26,39,99.16,125.55,78.95,93.03,124.83,90.37,103.73,114.45,104.82,86.76,113.23,90.94,96.67
_199508,95.84,96.14,93.19,246.29,95.28,79.63,128.89,101.18,84.22,106.99,63.12,99.37,606.3,142.67,74.86,38.87,99.98,122.79,76.82,93.49,127.56,90.38,108.44,116.28,104.68,85.33,111.07,90.5,97.23
_199509,95.99,96.75,93.6,248.86,96.64,80.01,131.42,103.63,82.74,104.43,63.05,100.24,618.11,139.23,74.99,39.32,98.96,125.23,79.13,91.14,130.71,88.1,101.74,113.75,104.35,86.31,112.78,91.46,94.75
_199510,94.14,95.61,94.05,232.92,94.88,77.01,132.34,102.73,84.76,107.1,64.41,98.27,610.3,137.78,72.27,39.05,96.3,123.02,77.71,85.32,129.15,81.69,101,115.01,102.12,85.75,112.69,91.49,88.43
_199511,94.12,94.7,92.85,233.79,94.29,77.8,128.24,101.57,84.94,107.73,63.95,97.06,604.08,135.67,71.11,37.55,98.65,120.2,76.19,90.28,128.17,87.45,99.31,113.6,101.49,85.29,111.25,89.6,93.65
_199512,96.12,97.06,92.73,252.03,99.72,83.91,133.2,105.78,87.15,110.71,65.33,99.01,613.42,136.59,71.43,39.34,101.15,121.92,78.47,90.27,125.88,87.57,99.03,113.84,103.05,88.93,112.46,90.68,94.12
_199601,95.23,95.98,93.74,253.33,92.71,74.38,126.82,103.35,88.47,112.12,66.87,98.73,565.03,139.64,76.73,39.88,98.9,121.63,77.31,90.47,121.25,88.16,96.75,111.33,102.73,87.08,108.62,90.89,94.59
_199602,95.54,95.3,94.36,252.96,94.5,76.2,131.37,103.45,83.52,105.2,64.03,97.87,559.87,137.14,76.8,39.56,95.49,120.56,78.34,96.17,102.39,95.45,99.71,98.68,101.77,85.67,109.63,90.7,101.33
_199603,96.21,96.33,93.62,257.05,95.28,75.64,133.22,106.02,86.57,111.7,62.64,98.95,573.86,136.46,75.22,40.49,98.36,122.11,79.1,94.9,121.14,93.11,98.05,111.8,103.38,86.88,111.04,90.95,99.21
_199604,95.25,95.76,93.68,245.97,94.51,78.62,123.83,103.4,87.37,109.98,67.08,98.07,557.01,137.67,74.11,39.97,98.06,121.57,78.1,91.75,120.45,89.4,99.91,111.27,102.42,87.12,111.15,90.18,95.71
_199605,97.09,97.27,96.9,248.72,95.37,78.91,128.67,102.97,89.95,109.51,74.29,99.09,560.77,139.29,77.06,41.66,97.98,121.05,78.55,95.45,121.92,93.62,98.84,111.83,104.07,87.82,113.33,92.73,99.49
_199606,96.38,96.87,93.86,245.25,96.72,78.85,133.22,105,88.64,111.63,67.99,99.04,564.54,138.27,77.78,40.06,98.45,121.18,78.76,93.03,116.67,90.3,108.9,110.9,104.15,87.91,113.47,90.6,97.07
_199607,94.63,94.86,94.2,244.97,93.71,75.93,129.87,102.14,82.86,102.2,66.57,97.57,550.12,138.58,75.77,37.76,97.34,121.05,77.91,92.75,113.52,90.92,99.91,107.35,103.33,84.78,107.63,89.13,96.86
_199608,96.65,97.48,94.52,245.01,94.21,75.58,130.05,104.34,92.38,116.39,70.78,99.97,573.13,138.83,76.35,38.93,101.37,125.35,78.58,91.41,115.88,89.43,97.9,110.12,105.86,88.7,109.3,90.18,95.44
_199609,96.84,97.24,94.71,246.3,95.09,77.32,128.08,105.26,89.13,113.29,66.9,99.92,552.73,139.99,78.27,39.79,99.43,122.96,80.55,93.98,115.71,92.28,98.95,112.5,105.45,88.18,112.57,90.16,98.15
_199610,95.84,96.29,94.41,259.69,94.72,78.84,129,100.74,87.06,107.39,69.93,98.73,547.23,139.13,77.5,39.17,98.18,121.8,79.14,92.71,115.39,91.04,96.73,107.76,104.68,86.75,111.66,89.45,97.19
_199611,97.05,97.56,94.34,259.87,96.73,81.3,127.94,103.61,87.92,108.46,70.61,100.21,558.09,140.86,76.38,41.97,98.59,123.92,80.51,93.59,114.27,92.04,97.54,105.15,104.82,88.54,112.96,91.25,98.15
_199612,97.18,97.43,97.71,229.66,93.71,76.93,124.19,103.56,89.02,110.87,70.02,100.1,543.61,143.05,77.24,44.03,97.64,123.81,78.86,95.12,114.68,93.74,97.83,108.25,104.78,87.09,113.77,93.79,98.88
_199701,96.34,96.52,93.98,268.63,95.36,78.53,130.39,102.34,88.69,109.36,71.23,98.6,534.48,139.07,78.03,41.35,95.64,121.5,79.22,94.89,97.11,94.27,100.67,97.19,104.03,87.45,110.25,89.83,100.62
_199702,97.14,98.27,95.15,259.58,95,76.35,132.14,103.79,90.96,113.65,71.2,101.15,544.12,144.23,81.09,40.53,101.2,125.78,79.04,90.32,120.5,87.81,99.14,107.39,108.33,87.83,112.15,90.97,94.43
_199703,97.52,99.39,94.93,249.14,98.9,81.17,133.15,107.74,92.55,113.49,75.1,101.74,543.88,144.14,81.75,40.08,102.35,126.47,80.1,86.48,119.41,83.49,99.21,107.52,109.27,90.17,111.45,90.99,90.24
_199704,100.95,102.36,98.27,255.11,105.26,93.47,141.73,103.1,94.44,119.22,72.4,103.79,556.5,146.96,82.97,41.35,104.14,128.48,82.07,92.52,122.81,89.67,105.36,107.66,112,93.73,109.47,93.64,96.46
_199705,99.11,100.18,96.45,261.4,99.22,83.47,132.59,105.32,94.1,114.68,77.22,102.22,550.82,145.57,80.22,40.43,102.34,127.99,80.78,92.65,116.09,90.71,99.34,104.15,109.69,90.81,111.89,92.1,97.09
_199706,99.84,100.93,96.04,280.33,100.38,85.4,133.21,105.54,97.32,118.74,79.7,102.41,547.73,145.73,79.76,40.26,104.19,129.37,79.9,93.21,115.89,91.58,96.73,106.13,110.46,92.12,112.01,91.9,98.18
_199707,100.04,101.08,93.87,259.76,100.7,84.56,134.24,107.32,100.01,121.66,82.37,102.71,542.35,145.48,81.82,41.31,104.7,124.82,82.16,93.66,120.68,91.82,96.81,104.89,111.12,92.84,114.11,90.92,97.88
_199708,103.85,105.3,97.31,263.03,110.72,96.96,148.19,111.17,103.37,127.03,83.54,105.52,553.2,146.55,83.72,42.47,105.86,133.54,83.1,95.17,120.75,93.2,100.71,108.49,113.59,99.63,113.74,94.08,99.48
_199709,101.43,102.87,98.43,262.71,101.86,84.85,137.66,108.63,102.57,124.55,84.76,103.79,536.85,146.41,83.35,41.89,103.51,130.27,82.06,92.85,118.31,90.63,101.56,106.1,112.55,94.65,115.32,93.38,97.2
_199710,103.91,105.56,100.02,263.51,104.59,88.16,139.46,110.92,103.4,127.76,82.7,107.24,541.64,149.23,87.83,46.17,107.44,132.98,83.47,94.06,120.93,92,99.85,105.72,115.75,96.11,120.64,96.73,98.34
_199711,101.58,103.28,98.01,274.75,103.68,85.31,139.8,112.5,101.65,127.42,79.04,104.18,536.78,146.61,82.84,38.07,106.73,130.72,84.54,91.55,120.5,89.47,96.15,104.1,113.13,95.88,118.68,91.77,96.06
_199712,103.54,105.43,101.01,270.25,104.69,90.86,133.22,110.31,100.92,131.59,72.14,107.22,538.76,149.49,86.3,41.63,109.44,135.68,85.04,92.39,115.66,90.72,96.1,106.36,116.23,95.73,122.77,95.43,97.08
_199801,103.55,105.55,100.24,261.22,104.61,88.25,139.96,110.49,105.48,128.11,87.2,106.58,547.43,149.07,85.2,43.13,107.91,131.84,85.08,91.87,121.13,89.99,94.01,106.37,115.54,97.18,115.09,95.99,96.04
_199802,104.26,106.1,99.12,258.64,107.32,89.8,148.59,111.93,105.23,131.55,82.29,107.12,543.32,147.78,84.31,45.62,108.46,132.29,85.84,93.37,119.92,91.75,94.29,106.14,116.19,98.07,112.79,96.16,97.6
_199803,103.05,104.5,98.95,306.92,102.84,85.69,140.21,108.94,99.9,131.73,69.53,106.53,540.2,148.61,82.27,44.53,109.33,132.48,84.92,94.31,118.59,92.84,95.01,105.41,115.33,94.38,114.42,95.35,99.64
_199804,104.39,105.76,97.07,282.75,106.58,86.59,146.66,115.6,107.71,137.02,81.28,106.58,538.04,146.16,81.8,45.32,108.92,132.36,86.07,96.06,114.45,95.23,93.28,104.8,115.22,98.38,119.41,94.61,101.19
_199805,105.7,107.39,97.3,276.02,109.63,91.81,145.49,117.46,108.18,138.67,80.3,108.47,533.64,146.83,86.22,45.74,109.57,133.3,89.37,95.64,115.81,94.17,98.5,105.91,116.76,101.4,117.11,94.97,100.48
_199806,105.03,106.64,97.15,274.91,106.61,88.37,142.16,115.26,110.79,140.94,83.59,107.52,531.26,146.43,84.33,45.12,109.49,133.71,87.32,95.4,116.67,94.07,96.24,104.96,116.6,99.95,117.28,94.55,100.17
_199807,105.62,107.75,98.97,280.6,108.6,92.7,149.03,111.09,110.88,143.6,80.47,108.35,512.98,147.8,85.27,47.74,110.09,133.1,88.93,93.22,118.53,91.74,93.31,105.33,117.23,101.27,115.64,96.3,97.97
_199808,102.96,105.07,95.94,277.16,106.18,89.62,143.67,111.25,104.93,133.01,79.76,106.41,508.81,146.82,83.61,45.28,108.08,131.43,87.33,90.68,118.2,88.43,97.47,106.89,114.68,98.22,116.81,93.61,95.24
_199809,104.86,106.85,95.67,274.09,106.92,90.64,145.4,111.03,114.37,142.77,89.71,107.41,511.82,145.48,83.22,46.17,109.49,133.73,88.44,93.25,120.76,91.57,94.22,105.69,116.1,101.93,118.02,93.53,97.73
_199810,104.85,106.42,96.91,270.97,105.89,89.99,146.18,108.51,112.18,147.93,78.08,107.12,505.5,146.81,82.5,45.47,108.89,133.42,89.04,95.46,119.15,94.19,94.32,104.14,115.79,100.69,118.26,93.93,100.07
_199811,105.49,106.8,94.74,251.26,106.59,93.79,138.1,108.93,114.76,147.34,84.88,107.75,506.49,147.43,83.96,45.9,109.7,133.92,89.09,97.51,117.89,96.39,96.61,106.46,116.29,102.22,119.07,92.76,101.87
