NAF rev. 2,BE,CZ,(C1),(C2),(C3),[CI],[CJ],[CK],(C4),[CL1],[CL2],(C5),[CB],[CC],[CE],[CF],[CG],[CH],[CM],DE,[BZ],[DZ],[EZ],FZ,RM040,RM050,RM060,RM070,RM090
_201603,102.62,102.02,99.77,174.72,97.85,94.12,103.72,98.93,128.78,125.62,131.35,97.23,106.91,103.88,97.05,81.24,99.11,105.96,93.4,106.18,91.73,107.04,104.84,103.3,101.19,106.25,91.89,95.91,109.47
_201604,104.09,103.82,98.72,175.41,100.11,94.97,104.83,103.17,136.1,132.37,139.15,98.75,111.11,104.48,98.15,78.48,100.39,107.66,97.2,105.85,93.88,106.5,105.45,104.14,102.16,111.38,90.42,94.79,109.06
_201605,102.29,102.61,97.84,136.48,99.1,95.73,105.21,99.71,130.08,127.46,132.23,98.81,111.17,104.08,94.19,80.89,100.58,108.75,97.84,100.92,95.61,101.01,102.83,107.14,101.19,109.41,91.32,95.16,102.48
_201606,101.69,101.67,97.52,114.29,97.46,95.91,105.97,95.07,132.07,129.64,134.07,97.59,105.66,103.28,91.02,84.96,100.87,107.48,94.82,102.14,95.21,102.95,96.89,106.42,100.73,107.84,87.07,95.4,102.83
_201607,101.64,102.18,98.79,171.52,96.66,92.98,104.6,96.69,128.02,126.07,129.62,98.31,105.9,103.18,98.41,82,99.68,107.32,95.49,99.1,94.92,99,102.45,106.4,101.55,107.15,88.25,95.32,102.08
_201608,103.43,103.95,99.87,170.72,100.63,96.45,108.62,101.15,132.57,135.82,129.96,99.22,109.1,105.6,100.7,84.27,101.64,105.43,95.52,101.07,97.96,100.82,105.44,112.78,103.97,107.92,102.82,97.15,103.88
_201609,102.52,103.05,100.27,169.21,99.33,95.1,108.54,99.32,128.42,126.46,130.02,98.66,104.27,103.78,97.6,80,101.18,110.34,95.19,100.07,100.65,99.7,103.64,109.87,103.85,107.57,86.33,95.59,102.69
_201610,102.12,101.97,99.04,178.38,97.09,92.44,104.65,98.3,130.95,126.75,134.37,97.1,104.49,103.46,97.79,76.67,100.45,106.33,94.16,103.24,95.46,103.64,103.01,110.28,101.71,107.36,89.73,94.03,106.45
_201611,104.26,104.84,100.12,194.51,101.51,99,112.27,99.03,130.34,135.82,125.92,100.6,106.96,104.28,101.37,87.6,102.54,109.96,95.67,101.58,99.41,101.53,103.2,112.01,105.52,108.64,89.92,97.68,105.25
_201612,103.57,103.8,99.76,180.46,101.64,93.6,110.63,105.58,131.19,135.23,127.94,98.88,103.31,103.01,103.94,81.51,101.2,107.27,94.17,102.69,98.55,102.64,105.51,111.42,105.04,108.22,91.81,95.56,105.85
_201701,103.67,102.98,98.2,166.08,98.38,97.06,103.78,97.07,131.18,128.53,133.43,98.91,106.08,104.36,102.78,81.7,100.09,107.05,94.87,108.01,88.35,109.24,106.62,111.69,102.43,108.1,89.62,95.86,110.94
_201702,102.73,103.53,99.36,149.66,100.57,100.68,106.52,97.4,130.09,129.49,130.62,99.42,106.07,105.42,100.86,80.39,103.54,107.73,95.88,98.81,101.83,97.83,107.09,114.35,104.07,108.94,90.71,95.71,100.44
_201703,104.68,105.82,99.62,162.47,101.66,98.02,107.14,102.82,139.98,135.94,143.39,101.08,109.45,105.82,105.69,76.97,106,110.17,97.16,98.93,98.73,98.47,103.79,115.19,106.41,112.69,94.04,95.56,101.34
_201704,103.59,104.22,99.03,171.22,102.02,101.31,106.86,100.38,128.62,127.26,129.78,100.29,106.45,105.3,103.57,84.69,104.03,108.6,94.39,100.67,95.84,100.38,106.21,115.41,104.87,108.09,96.03,96.84,103.63
_201705,105.95,106.75,100.33,171.06,105.22,104.64,108.54,104.31,137.38,136.96,137.77,101.93,111.02,106.32,106.13,82.95,106.19,110.64,96.31,102.07,98.94,101.83,106.24,117.14,106.57,113.1,92.65,97.99,104.85
_201706,104.87,105.83,99.35,173.04,102.95,102.66,104.79,102.57,134.24,134.29,134.23,101.73,109.37,106.78,105.33,83.38,104.7,111.48,96.07,100.1,96.36,99.35,109.65,114.98,106.17,111.53,89.31,97.29,103.13
_201707,104.83,105.85,99.91,163.52,103.01,100.09,106.68,104.44,135.74,139.39,132.72,101.46,110.04,107.08,105.95,83.12,105.56,111.73,93.78,99.69,96.42,99.4,104.41,114.75,106.63,110.96,92.91,97.54,102.23
_201708,105.15,105.96,100.77,167.35,101.37,98.82,102.61,103.79,139.39,133.68,144.19,101.08,105.42,107,105.5,78.91,105.14,111.99,95.5,101.23,95.81,101.27,103.92,116.3,106.51,112.09,93.31,96.44,103.97
_201709,106.35,107.07,100.4,169.2,102.05,98.88,107.2,102.9,141.02,144.47,138.16,102.64,107.98,107.6,105.39,84.24,106.26,112.46,97.5,102.9,96.35,103.73,98.46,113.58,107.19,113.22,96.1,97.93,105.68
_201710,106.93,108.38,99.48,171.61,106.14,102.07,106.45,110.74,140.78,144.82,137.44,104.21,112.01,107.63,108.34,86.35,108.34,111.55,99.78,99.41,99.89,98.75,105.81,117.87,108.01,116.5,89.7,98.23,102.21
_201711,107.21,108.12,99.92,178.69,101.76,100.01,105.21,102.04,143.66,143.97,143.43,104.08,110.84,107.82,106.47,90.47,108.77,112.1,97.72,102.71,103.18,102.42,105.49,116.71,107.51,114.32,96.44,99.7,105.67
_201712,108.44,109.23,99.19,171.88,107.91,107.82,112.26,105.9,140.93,144.92,137.62,105.3,115.32,109.28,106.61,87.31,107.57,115.68,100.82,104.64,104.45,104.73,104.06,118.39,108.81,116.68,100.73,99.21,107.17
_201801,104.56,105.9,99.47,171.28,100.19,93.47,105.57,104.46,140.5,139.47,141.57,101.42,105.02,106.64,104.45,84.4,104.73,111.96,94.92,97.72,96.58,97.31,102.48,111.62,105.55,111.75,93.37,97.68,100.58
_201802,106.01,105.23,99.5,165.8,100.44,97.79,105.35,100.83,135.76,139.09,133.78,101.18,108.41,106.84,102.35,84.19,101.68,111.83,96.74,110.72,93.23,112.72,100.54,111.25,104.24,111.34,88.04,98.02,113.38
_201803,106.92,106.74,100.67,161.68,103.77,103.3,104.76,104.24,134.25,140.87,129.98,103.01,109.76,107.05,102.62,92.32,103.38,111.81,98.96,108.37,98.09,109.57,102.28,108.3,104.93,112.92,90.49,100.63,110.66
_201804,105.69,107.15,100.54,149.23,99.53,97.27,105.38,98.97,143.59,141.24,145.59,103.17,111.18,107.05,105.62,87.52,104.95,110.6,99.67,98.2,101.23,97.67,101.92,115.05,105.82,114.19,91.83,99.7,99.88
_201805,104.53,105.53,100.4,120.9,100.72,99.32,106.1,99.57,138.73,138.86,138.99,101.42,107.49,105.06,105.08,87.26,103.84,108.63,96.63,99.55,99.85,99.45,100.63,106.75,105.63,111.48,89,98.59,100.02
_201806,106.56,107.68,99.64,154.69,102.29,96.64,106.78,106,144.51,139.04,148.67,103.42,111.88,107.32,104.4,88.95,105.58,110.78,100.08,100.92,101.48,101.42,95.9,112.15,106.21,115.53,91.4,99.25,102.81
_201807,106.1,106.8,98.82,161.35,101.62,97.97,103.19,104.97,145.44,139.82,149.72,102.01,110.7,106.29,99.37,89.51,105.05,111.08,98.05,102.73,104.02,102.92,100.43,114.12,104.01,115.39,90.29,99.01,104.79
_201808,106.33,107.23,100.21,163.81,102.88,101.17,103.52,104.82,139.2,135.65,142.01,103.22,103.55,106.25,105.44,90.5,106.2,111.07,98.99,101.89,106.02,101.7,101.79,113.83,105.85,114.25,88.46,99.89,103.97
_201809,105.2,106.18,99.42,167.93,100.21,98.2,101.06,102.32,138.34,134.89,141.09,102.39,107.29,105.51,103.17,87.92,104.54,110.62,99.3,100.33,100.94,100.11,102.43,113.77,104.47,113.37,86.45,98.83,102.84
_201810,106.76,107.74,99.98,170.33,103.62,101.27,104.42,106.13,139.9,136.8,142.4,103.79,109.11,106.57,105.88,91.06,104.38,112.55,99.6,101.85,101.33,101.61,104.71,112.75,106.4,114.47,92.69,100.08,104.44
_201811,105.49,106.4,98.55,154.45,100.52,100.18,101.58,100.81,140.98,133.66,146.43,102.63,110.09,105.31,100.28,89.13,102.36,110.36,102.73,101.05,97.68,101.32,100.36,112.85,103.88,114.87,89.05,98.49,103.09
_201812,106.6,107.86,100.32,160.09,101.48,99.18,104.83,102.42,144.96,139.25,149.3,103.57,111.86,105.23,106.38,97.17,104.46,112.57,95.57,100.23,104.89,100.18,98.45,115.44,106.45,113.78,94.76,101.5,102.2
_201901,107.28,108.13,100.95,168.35,105.5,107.95,103.7,104.65,141.04,142.05,140.74,103.59,116.55,105.48,107.02,88.78,103.77,110.76,100.03,103.03,97.9,103.5,100.89,109.47,106.26,115.84,90,100.33,105.33
_201902,107.26,108.57,100.13,166.22,103.88,105.35,101.89,104.12,144.97,141.17,147.99,104.28,108.78,106.41,107.11,94.43,103.92,110.24,101.56,100.7,99.23,100.73,101.4,113.87,105.36,117.2,89.34,101.33,102.86
_201903,107.04,108.34,99.3,162.91,106.4,109.46,105.91,104.13,145.88,142.94,148.31,103.32,108.99,107.05,102.84,88.24,104.69,111.23,101.78,100.55,102.53,100.3,102.56,114.45,106.17,117.63,93.05,98.91,102.46
_201904,107.16,108.26,100.8,157.88,109.27,115.87,103.77,106.31,139.04,139.33,139.22,103.4,111.96,105.19,103.58,91.57,103.65,110.79,101.2,101.69,97.97,101.93,101.25,112.82,104.86,116.84,94.92,101.02,103.64
_201905,108.97,109.5,99.69,153.58,106.77,109.31,106.52,104.91,145.69,144.55,146.88,105.33,113.15,105.76,105.35,103.31,103.69,110.43,102.43,106.32,97.71,107.21,101.34,112.42,105.85,118.01,97.25,102.67,108.13
_201906,105.74,106.49,99.17,133.49,104.06,109.21,103.48,99.69,138.35,138.19,138.83,102.51,112.74,105.28,104.65,91.28,101.54,107.93,100.44,102,98.57,102.17,102.12,112.6,104.12,113.96,94.93,99.84,103.15
_201907,106.79,107.49,98.42,145.08,103.19,106.85,103.34,99.92,140.88,136.88,144.02,104.13,115.62,104.7,103.74,97.4,104.36,108.79,102.04,103.36,101.17,103.13,107.18,111.6,104.39,115.19,94.12,101.36,104.78
_201908,105.17,106.09,98.34,149.95,101.14,98.04,105.46,102.38,137.47,129.7,143.2,102.83,114.23,104.11,102.55,96.35,101.6,108.83,100.22,100.56,100.2,100.63,100.18,110.32,103.38,112.95,90.18,100.64,102.14
_201909,106.51,107.93,101.05,132.77,104.87,107.72,102.12,104.14,140.72,130.29,148.28,103.79,105.98,103.17,107.5,95.55,103.55,107.5,102.7,99.42,99.51,99.2,102.01,112.98,104.01,115.86,99.76,102.23,100.53
_201910,106.52,107.89,99.63,117.56,102.37,109.92,101.35,95.81,139.33,131.42,145.15,105.28,108.69,105.88,104.66,107.68,102.42,109.66,102.84,99.63,99.67,99.48,101.47,111.01,103.36,114.05,115.97,104.2,100.28
_201911,105.71,106.57,99.65,114.38,101.81,103.7,97.87,102.74,140.83,130.77,148.15,102.77,112.47,105.21,102.35,93.67,100.89,107.35,102.81,101.43,100.68,101.51,101.17,111.92,100.93,115.76,100.23,101.58,101.96
_201912,103.46,104.53,99.75,117.35,99.2,102.11,98.45,97.21,130.42,123.63,135.45,101.86,111.04,101.83,97.88,98.54,99.53,107.06,102.34,98.11,99.98,97.7,101.93,110.86,99.54,111.32,101.39,101.52,98.73
_202001,105.42,106.84,99.21,108.74,102.5,109.05,99.31,98.66,133.41,121.57,142.21,103.64,121.77,104.12,100.83,97.84,101.66,104.53,103.81,96.96,101.81,96.43,99.08,111.44,102.12,113.67,101.03,102.29,96.95
_202002,106.96,108.27,101.3,108.92,103.42,107.03,101.77,101.23,137.75,124.03,147.95,104.33,110.96,104.37,105.17,95.98,102.36,108.04,104.04,99.11,99.91,98.92,100.46,110.83,104.62,115.29,105.46,101.8,99.28
_202003,87.06,85.74,97.59,72.79,77.79,87.21,76.36,70.56,92.72,72.64,107.65,82.85,62.53,86.93,89.41,117.43,70.53,74.05,82.18,94.96,62.21,96.57,98.71,69.89,80.37,84.78,55.06,95.49,96.4
_202004,67.79,65.64,91.02,76.65,60.01,72.33,54.7,52.41,47.79,9.32,76.4,64.27,42.15,70.9,78.21,93,51.64,51.7,65.17,80.64,41.43,81.16,98.19,40.57,63.23,58.67,25.07,81.58,82.68
_202005,82.06,80.71,92.05,86.09,79.44,80.45,81.32,77.57,69.92,45.96,87.74,80.46,75.58,86.03,87.73,94.66,80.35,73.22,76.94,90.12,76.02,89.86,100.55,84.4,80.88,75.61,64.57,89.49,90.73
_202006,92.99,92.58,98.06,103.03,90.83,91.82,94.26,88.13,91.75,84.01,97.51,91.65,91.3,94.4,90.93,97.33,92.46,86.02,92.95,95.42,93.52,95.12,99.3,98.11,90.43,92.18,87.59,96.1,95.67
_202007,97.42,97.62,98.98,101.46,96.15,98.51,97.24,93.55,100.84,101.65,100.24,96.83,101.87,101.22,91.35,98.33,98.15,92.8,98.84,96.19,97.59,95.41,102.59,102.74,95.15,99.14,95.23,98.42,96.24
_202008,98.02,98.05,98.63,92.29,93.06,89,97.85,93.93,102.26,107.75,98.18,98.15,111.12,99.68,91.48,91.91,101.84,98.08,98.81,97.87,98.8,96.97,105.61,107.38,97.11,98.65,98.42,98.28,97.74
_202009,99.8,100.41,99.9,106.76,94.5,96.58,94.68,92.63,113.61,127.06,103.61,98.83,104.56,100.27,96.88,99.92,98.88,97.98,98.43,96.17,98,95.56,100.85,101.88,97.63,102.53,101.6,100.26,96.29
_202010,101.84,101.43,98.23,120.43,98.48,97.17,99.03,99.28,112.11,131.17,97.94,100.38,108.33,99.76,103.32,107.26,98.42,97.23,98.54,104.29,92.57,105.45,100.32,101.09,98.83,102.98,98.19,101.91,105.23
_202011,100.27,101.17,98.46,106.88,97.94,98.75,97.64,97.42,110.15,117.9,104.39,100.54,98.34,99.7,104.11,99.51,102.44,99.5,99.89,94.88,100.97,93.88,100.65,101.48,101.41,102.98,94.79,98.51,94.8
_202012,99.68,99.86,97.17,77.16,96.74,98.24,93.68,97.11,108.18,117.24,101.45,99.5,107.28,98.69,102.38,93.23,99.72,103.42,96.41,98.59,99.56,98.41,99.62,101,100.74,101.18,98.05,97.13,98.17
_202101,102.81,103.09,100.01,80.27,102.21,103.98,101.27,101.21,111.14,115.78,107.69,102.34,98.73,100.07,101.15,116.66,101.47,103.52,98.4,101.16,103.34,100.87,102.59,106.6,101.7,103.78,106.38,103.69,100.68
_202102,98.45,98.63,97.51,83.17,98.67,98.81,101.32,97.12,100.37,111.19,92.33,98.59,94.72,97.99,99.36,102.98,98.61,99.86,96.57,97.39,100.16,96.76,101.64,101.98,99.48,98.14,104.46,98.1,97.01
_202103,100.13,99.96,100.05,95.73,100.32,99.29,99.65,101.56,101,108.72,95.26,99.62,95.05,97.96,100.4,104.17,100.75,100.06,98.06,101.1,101.26,100.85,103.31,101.66,99.8,100.4,96.63,99.84,101
_202104,100.02,99.9,98.37,94.14,100.5,101.79,100.24,99.55,100.1,105.64,95.98,100.16,92.11,98.22,97.97,98.29,100.78,101.72,102.33,100.73,101.11,100.65,101.25,101.03,100.67,101.51,96.37,96.89,100.6
_202105,99.9,99.26,98.63,95.76,99.21,97.39,98.06,101.38,97.93,93.67,101.11,99.78,94.66,99.03,97.63,101.6,100.01,100.17,100.75,103.77,101.88,104.39,99.05,100.13,99.16,100.15,93.47,98.57,103.73
_202106,99.51,99.47,100.49,106.25,100.58,98.8,101.16,101.78,95.74,94.52,96.66,99.77,99.25,100.19,101.6,98.07,99.51,100.07,99.49,99.75,103.64,99.47,100.17,99.5,99.8,98.75,99.89,100.18,99.67
_202107,100.34,100.71,100.34,104.72,98.94,94.08,100.24,102.37,104.23,93.08,112.52,100.38,106.91,101.02,100.89,93.08,99.86,102.02,100.53,98.12,97.92,98.19,97.63,98.99,100.36,101.51,100.57,99.76,98.26
_202108,100.04,100.31,99.77,107.27,99.69,101.84,98.76,98.36,99.06,92.4,104.01,100.88,100.41,100.59,98.32,106.85,98.42,99.26,102.27,98.41,98.76,98.6,96.46,98.21,98.81,100.35,101.35,101.84,98.56
_202109,98.63,98.59,99.3,103.14,100.61,102.11,99.84,99.75,90.49,90.45,90.51,99.81,103.86,101.05,98.88,97.64,99.59,98.25,101.16,98.89,99.02,98.8,99.73,98.78,99.1,97.32,98.47,99.9,98.96
_202110,101.27,101.36,101.36,105.77,100.62,101.83,100.2,99.82,104.66,93.61,112.88,100.73,106.27,101.62,99.55,98.73,101.06,98.78,102,100.75,98.59,101.09,98.86,99.83,99.98,102.21,101.16,101.63,100.89
_202111,99.22,98.92,102.57,112.97,98.16,100.67,101.02,94.49,94.01,95.76,92.7,99.22,102.05,101.15,101.48,95.92,101.1,98.02,98.43,100.97,95.98,101.33,100.48,98.19,100.66,95.9,100.94,101.07,101.44
_202112,99.68,99.8,101.59,110.82,100.48,99.42,98.22,102.6,101.27,105.17,98.36,98.73,105.97,101.11,102.76,85.99,98.84,98.26,100.02,98.95,98.33,99,98.84,95.1,100.45,99.97,100.3,98.53,99.19
_202201,101.84,102.44,102.46,116.42,100.08,98.76,101.74,100.32,102.02,102.64,101.56,103.06,106.85,100.48,101.69,107.18,104.76,101.4,102.54,98.27,99.51,98.03,99.72,99.48,102.91,100.97,99.83,104.12,98.52
_202202,100.39,101.2,101.4,113.01,100.98,102.22,99.09,100.94,100.04,95.85,103.15,101.42,112.15,100.03,97.7,94.96,101.02,101.3,104.03,95.55,100.76,95.18,95.97,98.51,101.21,101.27,100.11,101.03,95.58
_202203,100.02,100.79,101.37,124.39,99.54,101.65,101.17,96.87,95.59,89.19,100.35,102.07,115.17,102.57,101.21,98.27,100.23,99.72,103.89,95.42,98.86,94.79,99.27,97.53,100.81,99.03,105.62,102.78,95.76
_202204,99.09,99.72,99.36,124.52,97.64,100.05,99.44,94.63,99.5,91.14,105.72,100.26,107.2,100.37,95.25,107.57,97.9,97.14,101.8,95.34,95.65,94.69,101.23,96.67,98.36,98.87,96.95,102.51,95.84
_202205,100.14,101.48,98.86,128.69,99.67,101.83,101.99,96.58,102.57,106.56,99.61,102.25,112.67,100.01,96.69,108.26,98.27,100.18,104.47,92.18,94.72,90.87,102.9,96.26,99.53,101.57,103.03,103.07,92.7
_202206,101.2,102.37,100.38,125.18,102.35,104.7,102.74,100.15,106.25,105.52,106.8,101.87,116.41,99.6,94.17,108.82,98.9,99.71,103.51,94.2,94.65,93.32,102.12,95.01,100.03,102.81,105.57,103.77,94.73
_202207,99.73,100.88,99.84,130.08,98.05,103.92,95.85,94.26,107.11,103.38,109.89,100.23,114.75,96.33,95.42,105.01,95.71,97.67,102.89,92.87,92.37,91.99,101.25,94.75,97.75,101.66,105.95,102.49,93.54
_202208,102.08,103.6,100.48,136.21,103.27,107.56,103.71,99.38,111.01,119.32,104.84,102.61,116.35,98.94,98.93,107.94,98.01,99.85,104.83,92.97,92.47,92.04,101.91,97.17,100.5,104.63,105.86,104.92,93.74
_202209,101.83,103.6,99.53,122.25,105.28,113.56,103.36,99.3,110.22,121.45,101.86,102.63,119.76,98.64,96.82,105.78,98.97,96.9,107.75,91.21,93.01,90.67,95.27,96.12,98.92,106.29,106.99,104.34,91.65
_202210,99.55,101.89,99.83,65.7,99.84,101.63,101.55,97.4,108.83,112.33,106.24,101.49,117.65,96.83,92.79,105.06,97.82,97.21,107,85.59,92.57,83.92,97.08,96.93,97.89,103.78,106.06,103.61,84.86
_202211,100.81,103.64,101.54,125.81,104.55,110.36,104.14,99.86,106,114.13,99.96,103.31,119.32,98.71,93.08,107.29,97.85,99.95,109.47,83.97,93.77,81.99,96.67,97.37,98.86,105.35,112.71,105.5,84.19
_202212,101.61,103.2,98.22,138.28,101.6,105.05,100.69,99.16,114.82,115.81,114.09,102,115.58,94.4,95.81,116.35,95.36,96.92,105.7,92.18,92.14,91.42,99.16,96.09,97.29,105.92,104.86,105.3,92.98
_202301,100.19,102.18,98.4,143.36,104.36,109.91,102.21,100.86,109.9,114.42,106.53,100.12,115.93,92.51,89.76,107.12,95.84,96.03,107.81,89.22,85.39,88.86,92.2,97.95,95.26,106.12,105.22,103.07,91.76
_202302,101.58,103.05,98.42,143.51,105.63,111.59,108.56,99.1,118.09,119.42,117.11,99.43,113.98,92.47,91.72,113.28,93.98,93.39,105.52,92.96,91.42,92.6,94.16,99.5,94.64,108.42,104.13,104.35,95.06
_202303,100.3,101.74,99.26,80.6,104.47,109.94,102.48,100.96,116.65,120.67,113.64,99.42,119.96,90.8,89.39,103.34,94.15,97.2,106.36,91.79,90.27,91.55,91.29,98.02,94.82,108.23,104.15,103.39,89.39
_202304,100.55,101.88,98.89,100.19,105.93,113.44,102.1,101.73,116.31,113.76,118.23,98.89,124.95,90.14,90.8,100.95,93.2,96.11,105.32,92.57,89.92,92.39,91.69,99.26,94.88,107.86,103.9,102.99,91.59
_202305,102.62,104.44,99.49,144.47,107.78,115.54,104.69,102.98,121.25,124.41,118.89,100.34,120.06,91.2,96.41,100.25,96.73,94.68,108,92.4,91.11,92.14,91.87,99.95,96.69,111.12,106.95,102.5,94.63
_202306,101.71,103.15,99.31,145.08,107.14,116.49,102.47,101.88,118.36,119.49,117.52,98.91,119.26,89.27,92.37,104.5,93.06,93.16,107.36,93.18,89.98,93.01,92.49,97.65,93.68,110.12,103.23,103.45,95.43
_202307,101.7,103.24,99.41,138.81,106.56,115.39,102.49,101.4,116.65,123.62,111.44,99.76,117.33,91.25,91.19,109.07,93.17,95.15,107.3,92.72,91.3,92.47,92.22,98.82,94.18,109.65,99.92,104.56,94.49
_202308,101.7,102.95,97.93,141.9,106.65,113.26,102.2,103.53,118.43,113.58,122.08,99.13,120.46,91.31,92.71,101.12,92.83,95.77,105.91,93.99,91.08,93.95,91.19,97.45,95.23,108.9,112.24,101.7,95.93
_202309,101.5,102.75,96.31,146.73,105.11,111.33,104.36,100.33,115.6,112.56,117.88,100.1,118.88,90.74,95.65,104.51,91.58,96.47,107.21,93.8,90.56,93.68,92.58,98.49,95.94,107.91,106.46,101.46,96.11
_202310,101.46,103.25,97.6,138.78,104.66,115.07,100.34,98.35,119.19,122.13,117,100.14,118.76,90.69,96.11,107.51,89.85,95.06,108.36,91.35,86.59,91.17,92.19,97.77,94.62,109.45,111.71,103.09,93.37
_202311,101.74,103.24,96.7,136.16,106.82,119.35,100.65,99.77,118.44,114.97,121.06,100.1,126.46,88.97,94.09,110.19,88.67,96.04,107.39,92.94,82.09,93.17,91.41,96.02,94.16,109.99,100.4,103.84,94.84
_202312,102.07,103.67,97.69,133.23,101.11,104.44,105.52,95.94,120,113.9,124.58,101.69,117.48,89.78,95.38,115.54,92.11,97.05,109.31,92.82,88.46,92.71,91.99,97.8,95.56,109.09,108.18,104.8,94.27
_202401,101.49,102.75,98.67,119.55,102.02,114.29,98.01,94.02,114.45,105.52,121.15,101.27,121.39,90.36,94.91,119,87.8,94.25,110.81,93.81,77.2,94.4,90.43,99.04,93.14,108.51,105.28,106.25,94.61
_202402,101.63,103.59,100.4,130.3,103.63,113.71,102.99,95.64,110.63,104.89,114.95,102.47,123.47,92.69,96.56,117.52,91.66,95.4,110.8,90.78,82.45,90.9,89.29,95.21,95.78,107.42,103.66,107.08,92.34
_202403,101.45,103.17,99.68,125.01,102.31,115.83,101.96,91.35,112.66,104.13,119.06,101.93,115.12,91.09,97.47,119.88,90.53,94.55,110.59,91.66,82.01,91.75,91.45,96.46,95.22,107.32,107.47,106.37,92.81
_202404,102.18,104.03,99.01,124.52,106.72,118.31,103.57,98.82,110.76,106.98,113.6,103.04,124.98,92.83,97.17,120.36,91.28,94.48,112.45,91.83,83.6,91.94,90.31,95.05,95.59,108.99,106.03,107,92.86
_202405,100.1,101.09,98.51,129.75,100.05,111.1,101.11,90.36,109.32,99.11,116.97,99.72,118.05,93.38,94.65,114.84,86.79,91.61,108.92,93.65,81.95,94.12,88.77,94.19,93.15,104.88,102.24,104.68,95.01
_202406,100.99,102.14,98.97,145.84,99.86,110.79,103.99,88.64,112.34,102.45,119.75,100.31,119.56,91.55,96.2,113.82,88.2,92.07,109.97,93.81,81.77,94.4,87.28,95.94,93.41,106.37,101.8,105.22,96.34
_202407,101.22,102.07,99.32,131.92,104,113.74,101.65,97.19,107.66,99.21,113.99,100.61,118.12,91.7,97.34,115.86,86.8,90.98,111.75,95.38,82.4,96.07,87.93,93.13,93.07,106.94,103.06,105.43,96.78
_202408,101.82,102.74,98.48,128.94,101.59,115.32,97.54,92.42,110.22,101.96,116.42,102.11,114.95,90.81,92.68,133.72,87.49,92.19,113.04,95.63,82.62,96.24,89.5,94.05,92.17,107.72,103.67,108.61,96.78
_202409,101.3,102.18,99.2,135.45,101.11,113.14,101.04,91.23,111.49,100.19,119.96,100.54,116.86,89.11,93.8,119.14,85.73,92.92,112.12,95.31,81.83,96.06,87.26,93.44,92.35,107.46,105.05,105.76,96.99
_202410,101.05,101.92,99.03,140.12,103.19,114.91,102.45,93.92,108.67,96.78,117.59,100.14,119.76,89.46,94.94,115.9,86.11,92.02,111.14,95.1,80,95.71,90.41,91.64,92.68,106.87,101,105.02,97.2
_202411,100.97,102,96.5,142.35,101.6,110.52,100.14,95,112.92,103.05,120.32,100.3,115.07,88.54,93.01,119.12,85.92,92.16,112.79,94.29,83.03,94.71,90.05,94.22,91.81,108.62,102.6,103.77,96.48
_202412,100.51,100.99,99.61,143.52,102.26,115.8,104.08,90.14,106.43,91.61,117.54,98.96,119.72,88.31,90.13,108.41,86.04,91.57,113.05,96.35,84.29,96.7,93.52,95.96,91.44,106.36,102.67,103.54,98.46
_202501,99.87,100.25,99.41,141.02,100.28,113.67,99.52,89.65,107.31,97.47,114.68,98.05,118.33,87.72,90.08,108.31,84.78,90.78,111.36,96.13,81.21,96.69,91.91,92.31,90.76,105.46,102.99,102.95,98.15
